TypeName,TypeKind,QualName,Subtype,ParentNames,ChildNames
AddTextNode,Data,cl.runtime.view.dag.nodes.add_text_node.AddTextNode,None,AddTextNode;DagNode,AddTextNode
And,Data,cl.runtime.records.predicates.And,None,And;Predicate,And
ApiSettings,Data,cl.runtime.settings.api_settings.ApiSettings,None,ApiSettings;Settings,ApiSettings
AzureBlobStorage,Record,cl.runtime.storage.for_azure.azure_blob_storage.AzureBlobStorage,None,AzureBlobStorage;Storage;StorageKey,AzureBlobStorage
AzureBlobTextFile,Data,cl.runtime.storage.for_azure.azure_blob_text_file.AzureBlobTextFile,None,AzureBlobTextFile;TextFile,AzureBlobTextFile
BarPlot,Record,cl.runtime.plots.bar_plot.BarPlot,None,BarPlot;MatplotlibPlot;Plot;PlotKey,BarPlot;GroupBarPlot;StackBarPlot
BaseTypeInfo,Data,cl.runtime.ui.base_type_info.BaseTypeInfo,None,BaseTypeInfo,BaseTypeInfo
BasicCouchDb,Record,cl.runtime.db.couch.basic_couch_db.BasicCouchDb,None,BasicCouchDb;Db;DbKey,BasicCouchDb
BasicMongoDb,Record,cl.runtime.db.mongo.basic_mongo_db.BasicMongoDb,None,BasicMongoDb;Db;DbKey,BasicMongoDb;BasicMongoMockDb
BasicMongoMockDb,Record,cl.runtime.db.mongo.basic_mongo_mock_db.BasicMongoMockDb,None,BasicMongoDb;BasicMongoMockDb;Db;DbKey,BasicMongoMockDb
BinaryExperiment,Record,cl.runtime.stat.binary_experiment.BinaryExperiment,None,BinaryExperiment;Experiment;ExperimentKey,BinaryExperiment;StubBinaryExperiment;StubSupervisedBinaryExperiment;SupervisedBinaryExperiment
BinaryFile,Data,cl.runtime.storage.binary_file.BinaryFile,None,BinaryFile,BinaryFile;LocalBinaryFile
BinaryFileMode,Enum,cl.runtime.storage.binary_file_mode.BinaryFileMode,None,,
BinaryTrial,Record,cl.runtime.stat.binary_trial.BinaryTrial,None,BinaryTrial;Trial;TrialKey,BinaryTrial;SupervisedBinaryTrial
BoolFormat,Enum,cl.runtime.serializers.bool_format.BoolFormat,None,,
BootstrapMixin,Data,cl.runtime.records.bootstrap_mixin.BootstrapMixin,None,,And;ApiSettings;BootstrapMixin;BootstrapSerializer;BuildSettings;CelerySettings;DataSerializer;DataSpec;DbSettings;DynaconfLoader;EnumMemberSpec;EnumSerializer;EnumSpec;EnvSettings;Exists;FieldSpec;FrontendSettings;Gt;Gte;In;JsonSerializer;KeySerializer;LocaleSettings;LogSettings;Lt;Lte;Not;NotIn;Or;PackageSettings;Predicate;PreloadSettings;PrimitiveSerializer;PrimitiveSpec;ProjectSettings;QaSettings;Range;RegressionGuard;SecretsSettings;Serializer;Settings;SseSettings;TypeHint;TypeInfo;TypeSpec;VersionSettings;YamlSerializer
BootstrapSerializer,Data,cl.runtime.serializers.bootstrap_serializer.BootstrapSerializer,None,BootstrapSerializer;Serializer,BootstrapSerializer
BuildSettings,Data,cl.runtime.settings.build_settings.BuildSettings,None,BuildSettings;Settings,BuildSettings
BytesFormat,Enum,cl.runtime.serializers.bytes_format.BytesFormat,None,,
Case,Record,cl.runtime.stat.case.Case,None,Case;CaseKey,Case
CaseKey,Key,cl.runtime.stat.case_key.CaseKey,None,CaseKey,Case;CaseKey
CategoricalBoxPlot,Record,cl.runtime.plots.categorical_box_plot.CategoricalBoxPlot,None,CategoricalBoxPlot;MatplotlibPlot;Plot;PlotKey,CategoricalBoxPlot
CeleryQueue,Record,cl.runtime.tasks.celery.celery_queue.CeleryQueue,None,CeleryQueue;TaskQueue;TaskQueueKey,CeleryQueue
CelerySettings,Data,cl.runtime.settings.celery_settings.CelerySettings,None,CelerySettings;Settings,CelerySettings
ClassMethodTask,Record,cl.runtime.tasks.class_method_task.ClassMethodTask,None,ClassMethodTask;MethodTask;Task;TaskKey,ClassMethodTask
ClassifierExperiment,Record,cl.runtime.stat.classifier_experiment.ClassifierExperiment,None,ClassifierExperiment;Experiment;ExperimentKey,ClassifierExperiment;StubClassifierExperiment;StubSupervisedClassifierExperiment;SupervisedClassifierExperiment
ClassifierTrial,Record,cl.runtime.stat.classifier_trial.ClassifierTrial,None,ClassifierTrial;Trial;TrialKey,ClassifierTrial;SupervisedClassifierTrial
ColumnState,Data,cl.runtime.ui.column_state.ColumnState,None,ColumnState,ColumnState
Configuration,Record,cl.runtime.configurations.configuration.Configuration,None,Configuration;ConfigurationKey,Configuration;PreloadConfiguration;StubSamplesConfiguration
ConfigurationKey,Key,cl.runtime.configurations.configuration_key.ConfigurationKey,None,ConfigurationKey,Configuration;ConfigurationKey;PreloadConfiguration;StubSamplesConfiguration
ConfusionMatrixPlot,Record,cl.runtime.plots.confusion_matrix_plot.ConfusionMatrixPlot,None,ConfusionMatrixPlot;MatplotlibPlot;Plot;PlotKey,ConfusionMatrixPlot
ContainerDecl,Data,cl.runtime.schema.container_decl.ContainerDecl,None,ContainerDecl,ContainerDecl
ContainerKind,Enum,cl.runtime.schema.container_kind.ContainerKind,None,,
ContextSnapshot,Data,cl.runtime.contexts.context_snapshot.ContextSnapshot,None,ContextSnapshot,ContextSnapshot
CsvReader,Record,cl.runtime.file.csv_reader.CsvReader,None,CsvReader;Reader;ReaderKey,CsvReader
Dag,Record,cl.runtime.view.dag.dag.Dag,None,Dag;DagKey,Dag
DagEdge,Data,cl.runtime.view.dag.dag_edge.DagEdge,None,DagEdge,DagEdge
DagKey,Key,cl.runtime.view.dag.dag_key.DagKey,None,DagKey,Dag;DagKey
DagLayout,Enum,cl.runtime.view.dag.dag_layout.DagLayout,None,,
DagNode,Data,cl.runtime.view.dag.nodes.dag_node.DagNode,None,DagNode,AddTextNode;DagNode;TextInputNode;TextOutputNode
DagNodeData,Data,cl.runtime.view.dag.dag_node_data.DagNodeData,None,DagNodeData,DagNodeData
DagNodePosition,Data,cl.runtime.view.dag.dag_node_position.DagNodePosition,None,DagNodePosition,DagNodePosition
DataDecl,Record,cl.runtime.schema.data_decl.DataDecl,None,DataDecl;TypeDecl;TypeDeclKey,DataDecl
DataMixin,Data,cl.runtime.records.data_mixin.DataMixin,None,,AddTextNode;AzureBlobStorage;AzureBlobTextFile;BarPlot;BaseTypeInfo;BasicCouchDb;BasicMongoDb;BasicMongoMockDb;BinaryExperiment;BinaryFile;BinaryTrial;Case;CaseKey;CategoricalBoxPlot;CeleryQueue;ClassMethodTask;ClassifierExperiment;ClassifierTrial;ColumnState;Configuration;ConfigurationKey;ConfusionMatrixPlot;ContainerDecl;ContextSnapshot;CsvReader;Dag;DagEdge;DagKey;DagNode;DagNodeData;DagNodePosition;DataDecl;DataMixin;DataService;DataSource;DataSourceKey;DataclassFieldDecl;DataclassMixin;DataclassTypeDecl;Dataset;DatasetKey;Db;DbEventBroker;DbKey;Draw;DrawKey;ElementDecl;EmptyView;Encoder;EnumDecl;EnumItemDecl;EnumItemLabel;EnumItemLabelKey;Env;EnvInfo;EnvKey;Event;EventBroker;EventBrokerKey;EventKey;Experiment;ExperimentInterrupt;ExperimentInterruptKey;ExperimentKey;ExperimentKeyQuery;ExternalLink;FieldDecl;FieldLabel;FieldLabelKey;FileData;Filter;FilterByQuery;FilterByType;FilterKey;FilterMany;FilterScreenItem;FstringTemplateEngine;GroupBarPlot;HandlerDeclareBlockDecl;HandlerDeclareDecl;HandlerParamDecl;HandlerVariableDecl;HeatMapPlot;HtmlView;InstanceMethodTask;JinjaTemplateEngine;JsonEncoder;JsonReader;KeyDecl;KeyListView;KeyMixin;KeyView;LayoutElement;LayoutElementBase;LayoutStackElement;LinePlot;LocalBinaryFile;LocalCache;LocalSecretsProvider;LocalStorage;LocalTextFile;Locale;LocaleKey;Log;LogEvent;LogKey;LogMessage;LogMessageKey;MatplotlibPlot;MemberDecl;MethodLabel;MethodLabelKey;MethodTask;ModuleDecl;ModuleDeclKey;MultiPlot;PackageAlias;PackageAliasKey;PackageLabel;PackageLabelKey;PdfView;Permission;PermissionKey;Plot;PlotKey;PlotView;PlotlyEngine;PlottingEngine;PlottingEngineKey;PngView;PreloadConfiguration;PrimitiveDecl;ProcessQueue;PydanticMixin;QueryMixin;Reader;ReaderKey;RecordDecl;RecordListView;RecordMixin;RecordPanel;RecordTypePresence;RecordTypePresenceKey;RecordTypePresenceQuery;RecordView;Resource;ResourceKey;ScatterPlot2D;ScatterPlot3D;ScatterValues2D;ScatterValues3D;ScreensResponse;Script;SecretsProvider;SelectDataResponse;SqliteDb;StackBarPlot;Storage;StorageKey;StubBinaryExperiment;StubClassifierExperiment;StubContext;StubContextKey;StubDataViewers;StubDataclass;StubDataclassAliased;StubDataclassAliasedKey;StubDataclassAnyFields;StubDataclassAnyFieldsKey;StubDataclassComposite;StubDataclassCompositeKey;StubDataclassData;StubDataclassDerived;StubDataclassDerivedData;StubDataclassDerivedHandlers;StubDataclassDerivedQuery;StubDataclassDictFields;StubDataclassDictListFields;StubDataclassDoubleDerived;StubDataclassDoubleDerivedData;StubDataclassEmptyFields;StubDataclassFrozendictFields;StubDataclassKey;StubDataclassListDictFields;StubDataclassListFields;StubDataclassNestedFields;StubDataclassNestedFieldsQuery;StubDataclassNumpyFields;StubDataclassOptionalFields;StubDataclassOptionalFieldsKey;StubDataclassOtherDerived;StubDataclassPartialFreezable;StubDataclassPolymorphic;StubDataclassPolymorphicBaseKey;StubDataclassPolymorphicComposite;StubDataclassPolymorphicCompositeKey;StubDataclassPolymorphicKey;StubDataclassPrimitiveFields;StubDataclassPrimitiveFieldsKey;StubDataclassPrimitiveFieldsQuery;StubDataclassQuery;StubDataclassSingleton;StubDataclassSingletonKey;StubDataclassTupleFields;StubDataclassVersioned;StubDataclassVersionedKey;StubDerivedContext;StubHandlers;StubHandlersKey;StubMediaViewers;StubPlotViewers;StubPydantic;StubPydanticData;StubPydanticHandlers;StubPydanticHandlersKey;StubPydanticKey;StubPydanticNestedFields;StubSamplesConfiguration;StubSlotted;StubSlottedKey;StubSupervisedBinaryExperiment;StubSupervisedClassifierExperiment;StubTask;StubTemplate;StubTemplateKey;StubViewers;StubViewersKey;SuccessorDag;SuccessorDagKey;SuccessorDagNode;SuccessorDagNodeKey;SupervisedBinaryExperiment;SupervisedBinaryTrial;SupervisedClassifierExperiment;SupervisedClassifierTrial;TabInfo;TableScreenItem;Task;TaskEvent;TaskFinishedEvent;TaskKey;TaskLog;TaskLogs;TaskQuery;TaskQueue;TaskQueueKey;TemplateEngine;TemplateEngineKey;TemplateMixin;Tenant;TenantKey;TextFile;TextInputNode;TextOutputNode;Trial;TrialKey;TrialQuery;TypeDecl;TypeDeclKey;TypeLabel;TypeLabelKey;TypeScreenItem;UiAppState;UiAppStateKey;UiClearLogsMarker;UiClearLogsMarkerKey;UiLogUtil;UiNavigationLink;UiRecordUtil;UiSupportUtil;UiTypeLayout;UiTypeLayoutKey;UiTypeState;UiTypeStateKey;User;UserKey;UserLogMessage;UserSecrets;ValueDecl;View;ViewKey;ViewKeyQuery;WorkflowPhase;WorkflowPhaseKey;WorkflowPhaseTask;WorkflowTask;YamlEncoder;YamlReader
DataSerializer,Data,cl.runtime.serializers.data_serializer.DataSerializer,None,DataSerializer;Serializer,DataSerializer
DataService,Data,cl.runtime.services.data.data_service.DataService,None,DataService,DataService
DataSource,Record,cl.runtime.db.data_source.DataSource,None,DataSource;DataSourceKey,DataSource
DataSourceKey,Key,cl.runtime.db.data_source_key.DataSourceKey,None,DataSourceKey,DataSource;DataSourceKey
DataSpec,Data,cl.runtime.schema.data_spec.DataSpec,None,DataSpec;TypeSpec,DataSpec
DataclassFieldDecl,Data,cl.runtime.schema.for_dataclasses.dataclass_field_decl.DataclassFieldDecl,None,DataclassFieldDecl;FieldDecl,DataclassFieldDecl
DataclassMixin,Data,cl.runtime.records.for_dataclasses.dataclass_mixin.DataclassMixin,None,,AddTextNode;AzureBlobStorage;AzureBlobTextFile;BarPlot;BaseTypeInfo;BasicCouchDb;BasicMongoDb;BasicMongoMockDb;BinaryExperiment;BinaryFile;BinaryTrial;Case;CaseKey;CategoricalBoxPlot;CeleryQueue;ClassMethodTask;ClassifierExperiment;ClassifierTrial;ColumnState;Configuration;ConfigurationKey;ConfusionMatrixPlot;ContainerDecl;ContextSnapshot;CsvReader;Dag;DagEdge;DagKey;DagNode;DagNodeData;DagNodePosition;DataDecl;DataSource;DataSourceKey;DataclassFieldDecl;DataclassMixin;DataclassTypeDecl;Dataset;DatasetKey;Db;DbEventBroker;DbKey;Draw;DrawKey;ElementDecl;EmptyView;Encoder;EnumDecl;EnumItemDecl;EnumItemLabel;EnumItemLabelKey;Env;EnvInfo;EnvKey;Event;EventBroker;EventBrokerKey;EventKey;Experiment;ExperimentInterrupt;ExperimentInterruptKey;ExperimentKey;ExperimentKeyQuery;ExternalLink;FieldDecl;FieldLabel;FieldLabelKey;FileData;Filter;FilterByQuery;FilterByType;FilterKey;FilterMany;FstringTemplateEngine;GroupBarPlot;HandlerDeclareBlockDecl;HandlerDeclareDecl;HandlerParamDecl;HandlerVariableDecl;HeatMapPlot;HtmlView;InstanceMethodTask;JinjaTemplateEngine;JsonEncoder;JsonReader;KeyDecl;KeyListView;KeyView;LayoutElement;LayoutElementBase;LayoutStackElement;LinePlot;LocalBinaryFile;LocalCache;LocalSecretsProvider;LocalStorage;LocalTextFile;Locale;LocaleKey;Log;LogEvent;LogKey;LogMessage;LogMessageKey;MatplotlibPlot;MemberDecl;MethodLabel;MethodLabelKey;MethodTask;ModuleDecl;ModuleDeclKey;MultiPlot;PackageAlias;PackageAliasKey;PackageLabel;PackageLabelKey;PdfView;Permission;PermissionKey;Plot;PlotKey;PlotView;PlotlyEngine;PlottingEngine;PlottingEngineKey;PngView;PreloadConfiguration;PrimitiveDecl;ProcessQueue;Reader;ReaderKey;RecordDecl;RecordListView;RecordTypePresence;RecordTypePresenceKey;RecordTypePresenceQuery;RecordView;Resource;ResourceKey;ScatterPlot2D;ScatterPlot3D;ScatterValues2D;ScatterValues3D;Script;SecretsProvider;SqliteDb;StackBarPlot;Storage;StorageKey;StubBinaryExperiment;StubClassifierExperiment;StubContext;StubContextKey;StubDataViewers;StubDataclass;StubDataclassAliased;StubDataclassAliasedKey;StubDataclassAnyFields;StubDataclassAnyFieldsKey;StubDataclassComposite;StubDataclassCompositeKey;StubDataclassData;StubDataclassDerived;StubDataclassDerivedData;StubDataclassDerivedHandlers;StubDataclassDerivedQuery;StubDataclassDictFields;StubDataclassDictListFields;StubDataclassDoubleDerived;StubDataclassDoubleDerivedData;StubDataclassEmptyFields;StubDataclassFrozendictFields;StubDataclassKey;StubDataclassListDictFields;StubDataclassListFields;StubDataclassNestedFields;StubDataclassNestedFieldsQuery;StubDataclassNumpyFields;StubDataclassOptionalFields;StubDataclassOptionalFieldsKey;StubDataclassOtherDerived;StubDataclassPartialFreezable;StubDataclassPolymorphic;StubDataclassPolymorphicBaseKey;StubDataclassPolymorphicComposite;StubDataclassPolymorphicCompositeKey;StubDataclassPolymorphicKey;StubDataclassPrimitiveFields;StubDataclassPrimitiveFieldsKey;StubDataclassPrimitiveFieldsQuery;StubDataclassQuery;StubDataclassSingleton;StubDataclassSingletonKey;StubDataclassTupleFields;StubDataclassVersioned;StubDataclassVersionedKey;StubDerivedContext;StubHandlers;StubHandlersKey;StubMediaViewers;StubPlotViewers;StubSamplesConfiguration;StubSlotted;StubSlottedKey;StubSupervisedBinaryExperiment;StubSupervisedClassifierExperiment;StubTask;StubTemplate;StubTemplateKey;StubViewers;StubViewersKey;SuccessorDag;SuccessorDagKey;SuccessorDagNode;SuccessorDagNodeKey;SupervisedBinaryExperiment;SupervisedBinaryTrial;SupervisedClassifierExperiment;SupervisedClassifierTrial;TabInfo;Task;TaskEvent;TaskFinishedEvent;TaskKey;TaskLog;TaskLogs;TaskQuery;TaskQueue;TaskQueueKey;TemplateEngine;TemplateEngineKey;Tenant;TenantKey;TextFile;TextInputNode;TextOutputNode;Trial;TrialKey;TrialQuery;TypeDecl;TypeDeclKey;TypeLabel;TypeLabelKey;UiAppState;UiAppStateKey;UiClearLogsMarker;UiClearLogsMarkerKey;UiLogUtil;UiNavigationLink;UiRecordUtil;UiSupportUtil;UiTypeLayout;UiTypeLayoutKey;UiTypeState;UiTypeStateKey;User;UserKey;UserLogMessage;UserSecrets;ValueDecl;View;ViewKey;ViewKeyQuery;WorkflowPhase;WorkflowPhaseKey;WorkflowPhaseTask;WorkflowTask;YamlEncoder;YamlReader
DataclassTypeDecl,Record,cl.runtime.schema.for_dataclasses.dataclass_type_decl.DataclassTypeDecl,None,DataclassTypeDecl;TypeDecl;TypeDeclKey,DataclassTypeDecl
Dataset,Record,cl.runtime.db.dataset.Dataset,None,Dataset;DatasetKey,Dataset
DatasetKey,Key,cl.runtime.db.dataset_key.DatasetKey,None,DatasetKey,Dataset;DatasetKey
DateFormat,Enum,cl.runtime.serializers.date_format.DateFormat,None,,
DatetimeFormat,Enum,cl.runtime.serializers.datetime_format.DatetimeFormat,None,,
Db,Record,cl.runtime.db.db.Db,None,Db;DbKey,BasicCouchDb;BasicMongoDb;BasicMongoMockDb;Db;LocalCache;SqliteDb
DbEventBroker,Record,cl.runtime.events.db_event_broker.DbEventBroker,None,DbEventBroker;EventBroker;EventBrokerKey,DbEventBroker
DbKey,Key,cl.runtime.db.db_key.DbKey,None,DbKey,BasicCouchDb;BasicMongoDb;BasicMongoMockDb;Db;DbKey;LocalCache;SqliteDb
DbSettings,Data,cl.runtime.settings.db_settings.DbSettings,None,DbSettings;Settings,DbSettings
Draw,Record,cl.runtime.stat.draw.Draw,None,Draw;DrawKey,Draw
DrawKey,Key,cl.runtime.stat.draw_key.DrawKey,None,DrawKey,Draw;DrawKey
DynaconfLoader,Data,cl.runtime.settings.dynaconf_loader.DynaconfLoader,None,DynaconfLoader,DynaconfLoader
ElementDecl,Data,cl.runtime.schema.element_decl.ElementDecl,None,ElementDecl;MemberDecl,ElementDecl
EmptyView,Record,cl.runtime.views.empty_view.EmptyView,None,EmptyView;View;ViewKey,EmptyView
Encoder,Data,cl.runtime.serializers.encoder.Encoder,None,Encoder,Encoder;JsonEncoder;YamlEncoder
EnumDecl,Record,cl.runtime.schema.enum_decl.EnumDecl,None,EnumDecl;TypeDecl;TypeDeclKey,EnumDecl
EnumFormat,Enum,cl.runtime.serializers.enum_format.EnumFormat,None,,
EnumItemDecl,Data,cl.runtime.schema.enum_item_decl.EnumItemDecl,None,EnumItemDecl,EnumItemDecl
EnumItemLabel,Record,cl.runtime.settings.labels.enum_item_label.EnumItemLabel,None,EnumItemLabel;EnumItemLabelKey,EnumItemLabel
EnumItemLabelKey,Key,cl.runtime.settings.labels.enum_item_label_key.EnumItemLabelKey,None,EnumItemLabelKey,EnumItemLabel;EnumItemLabelKey
EnumMemberSpec,Data,cl.runtime.schema.enum_member_spec.EnumMemberSpec,None,EnumMemberSpec,EnumMemberSpec
EnumSerializer,Data,cl.runtime.serializers.enum_serializer.EnumSerializer,None,EnumSerializer;Serializer,EnumSerializer
EnumSpec,Data,cl.runtime.schema.enum_spec.EnumSpec,None,EnumSpec;TypeSpec,EnumSpec
Env,Record,cl.runtime.server.env.Env,None,Env;EnvKey,Env
EnvInfo,Data,cl.runtime.routers.settings.env_info.EnvInfo,None,EnvInfo,EnvInfo
EnvKey,Key,cl.runtime.server.env_key.EnvKey,None,EnvKey,Env;EnvKey
EnvKind,Enum,cl.runtime.settings.env_kind.EnvKind,None,,
EnvSettings,Data,cl.runtime.settings.env_settings.EnvSettings,None,EnvSettings;Settings,EnvSettings
Event,Record,cl.runtime.events.event.Event,None,Event;EventKey,Event;LogEvent;TaskEvent;TaskFinishedEvent
EventBroker,Record,cl.runtime.events.event_broker.EventBroker,None,EventBroker;EventBrokerKey,DbEventBroker;EventBroker
EventBrokerKey,Key,cl.runtime.events.event_broker_key.EventBrokerKey,None,EventBrokerKey,DbEventBroker;EventBroker;EventBrokerKey
EventKey,Key,cl.runtime.events.event_key.EventKey,None,EventKey,Event;EventKey;LogEvent;TaskEvent;TaskFinishedEvent
EventKind,Enum,cl.runtime.events.event_kind.EventKind,None,,
Exists,Data,cl.runtime.records.predicates.Exists,None,Exists;Predicate,Exists
Experiment,Record,cl.runtime.stat.experiment.Experiment,None,Experiment;ExperimentKey,BinaryExperiment;ClassifierExperiment;Experiment;StubBinaryExperiment;StubClassifierExperiment;StubSupervisedBinaryExperiment;StubSupervisedClassifierExperiment;SupervisedBinaryExperiment;SupervisedClassifierExperiment
ExperimentInterrupt,Record,cl.runtime.stat.experiment_interrupt.ExperimentInterrupt,None,ExperimentInterrupt;ExperimentInterruptKey,ExperimentInterrupt
ExperimentInterruptKey,Key,cl.runtime.stat.experiment_interrupt_key.ExperimentInterruptKey,None,ExperimentInterruptKey,ExperimentInterrupt;ExperimentInterruptKey
ExperimentKey,Key,cl.runtime.stat.experiment_key.ExperimentKey,None,ExperimentKey,BinaryExperiment;ClassifierExperiment;Experiment;ExperimentKey;StubBinaryExperiment;StubClassifierExperiment;StubSupervisedBinaryExperiment;StubSupervisedClassifierExperiment;SupervisedBinaryExperiment;SupervisedClassifierExperiment
ExperimentKeyQuery,Data,cl.runtime.stat.experiment_key_query.ExperimentKeyQuery,None,ExperimentKeyQuery,ExperimentKeyQuery
ExternalLink,Data,cl.runtime.ui.external_link.ExternalLink,None,ExternalLink,ExternalLink
FieldDecl,Data,cl.runtime.schema.field_decl.FieldDecl,None,FieldDecl,DataclassFieldDecl;FieldDecl
FieldLabel,Record,cl.runtime.settings.labels.field_label.FieldLabel,None,FieldLabel;FieldLabelKey,FieldLabel
FieldLabelKey,Key,cl.runtime.settings.labels.field_label_key.FieldLabelKey,None,FieldLabelKey,FieldLabel;FieldLabelKey
FieldSpec,Data,cl.runtime.schema.field_spec.FieldSpec,None,FieldSpec,FieldSpec
FileData,Data,cl.runtime.file.file_data.FileData,None,FileData,FileData
FileKind,Enum,cl.runtime.file.file_kind.FileKind,None,,
Filter,Record,cl.runtime.db.filter.Filter,None,Filter;FilterKey,Filter;FilterByQuery;FilterByType;FilterMany
FilterByQuery,Record,cl.runtime.db.filter_by_query.FilterByQuery,None,Filter;FilterByQuery;FilterKey,FilterByQuery
FilterByType,Record,cl.runtime.db.filter_by_type.FilterByType,None,Filter;FilterByType;FilterKey,FilterByType
FilterKey,Key,cl.runtime.db.filter_key.FilterKey,None,FilterKey,Filter;FilterByQuery;FilterByType;FilterKey;FilterMany
FilterMany,Record,cl.runtime.db.filter_many.FilterMany,None,Filter;FilterKey;FilterMany,FilterMany
FilterScreenItem,Data,cl.runtime.services.data.filter_screen_item.FilterScreenItem,None,FilterScreenItem,FilterScreenItem
FloatFormat,Enum,cl.runtime.serializers.float_format.FloatFormat,None,,
FrontendSettings,Data,cl.runtime.settings.frontend_settings.FrontendSettings,None,FrontendSettings;Settings,FrontendSettings
FstringTemplateEngine,Record,cl.runtime.templates.fstring_template_engine.FstringTemplateEngine,None,FstringTemplateEngine;TemplateEngine;TemplateEngineKey,FstringTemplateEngine
GroupBarPlot,Record,cl.runtime.plots.group_bar_plot.GroupBarPlot,None,BarPlot;GroupBarPlot;MatplotlibPlot;Plot;PlotKey,GroupBarPlot
Gt,Data,cl.runtime.records.predicates.Gt,None,Gt;Predicate,Gt
Gte,Data,cl.runtime.records.predicates.Gte,None,Gte;Predicate,Gte
